LegID,FlightID,ScheduledDepartureDateTime,ScheduledArrivalDateTime,DepartureAirportID,ArrivalAirportID,OperatingAirlineID,MarketingAirlineID,FlightNumber,AircraftID,ActualDepartureDateTime,ActualArrivalDateTime,Status,DelayReasonCode,CreatedAt,UpdatedAt
792501,165414,2025-05-27 23:45:00,2025-05-28 06:02:00,13006,590,560,482,XS83961569,1777,,,Delayed,34,1747559128,1747559128
792502,440112,2025-05-26 11:15:00,2025-05-27 04:33:00,4295,14938,417,106,KW11039449,4974,,,Delayed,22,1747559128,1747559128
792503,106525,2025-05-20 11:00:00,2025-05-21 03:43:00,2941,1270,394,,KV12468252,5630,,,Cancelled,,1747559128,1747559128
792504,274399,2025-05-28 15:30:00,2025-05-29 00:42:00,7244,7578,195,335,HS15839431,,,,Delayed,12,1747559128,1747559128
792505,,2025-05-25 08:00:00,2025-05-25 11:40:00,7583,12944,294,,ZM11151391R,71,,,Scheduled,,1747559128,1747559128
792506,336851,2025-05-21 03:30:00,2025-05-21 10:36:00,2545,8994,486,262,PB24583203,4737,,,Delayed,86,1747559128,1747559128
792507,252042,2025-05-11 18:45:00,2025-05-11 21:37:00,4281,12009,262,648,HL71877428,6840,2025-05-11 19:33:00,2025-05-11 22:25:00,Delayed,76,1747559128,1747559128
792508,40861,2025-05-23 07:30:00,2025-05-23 16:16:00,12342,9768,519,116,EZ74065043,7339,,,Cancelled,,1747559128,1747559128
792509,141775,2025-05-08 14:45:00,2025-05-09 02:04:00,15499,12227,398,190,DC99066900,9133,,,OnTime,,1747559128,1747559128
792510,,2025-05-15 08:00:00,2025-05-15 10:58:00,4686,1749,539,589,JN62429881R,8482,,,OnTime,,1747559128,1747559128
792511,235334,2025-05-11 23:30:00,2025-05-12 15:17:00,7011,15604,351,365,BD54777788,7734,,,OnTime,,1747559128,1747559128
792512,477179,2025-05-29 08:00:00,2025-05-29 19:48:00,11726,13489,191,314,JH41182549,4859,,,Scheduled,,1747559128,1747559128
