LegID,FlightID,ScheduledDepartureDateTime,ScheduledArrivalDateTime,DepartureAirportID,ArrivalAirportID,OperatingAirlineID,MarketingAirlineID,FlightNumber,AircraftID,ActualDepartureDateTime,ActualArrivalDateTime,Status,DelayReasonCode,CreatedAt,UpdatedAt
4501,234139,2025-05-18 06:15:00,2025-05-18 20:08:00,5061,1295,305,145,UG21408315,9218,,,Scheduled,,1747465069,1747465069
4502,137918,2025-05-11 17:00:00,2025-05-12 08:47:00,11084,4264,517,411,YR77526145,3309,,,OnTime,,1747465069,1747465069
4503,74487,2025-05-19 00:00:00,2025-05-19 02:19:00,6379,7581,545,132,HC35731184,1143,,,Cancelled,,1747465069,1747465069
4504,162242,2025-06-01 01:15:00,2025-06-01 16:06:00,8297,16468,3,404,GF65791556,4018,,,Delayed,75,1747465069,1747465069
4505,8880,2025-05-16 18:45:00,2025-05-17 12:12:00,4345,15714,524,411,XZ46271640,1890,,,OnTime,,1747465069,1747465069
4506,434657,2025-05-07 19:30:00,2025-05-08 02:18:00,16706,4699,91,635,WW29505677,5038,,,OnTime,,1747465069,1747465069
4507,316867,2025-05-26 13:45:00,2025-05-26 20:03:00,4458,7559,240,74,XD53193759,,,,Cancelled,,1747465069,1747465069
4508,72801,2025-05-24 14:45:00,2025-05-25 08:37:00,12475,13652,143,,QX81785909,3926,,,Scheduled,,1747465069,1747465069
4509,93854,2025-05-18 06:45:00,2025-05-18 19:35:00,950,14902,316,,CV40583284,2586,,,Cancelled,,1747465069,1747465069
4510,123773,2025-05-19 16:30:00,2025-05-20 08:37:00,16572,15994,507,432,RW18767545,3086,,,Scheduled,,1747465069,1747465069
4511,106251,2025-05-22 08:00:00,2025-05-22 10:24:00,2231,14060,361,,XC70298040XCD,5557,,,Delayed,79,1747465069,1747465069
4512,81497,2025-05-28 08:00:00,2025-05-28 14:18:00,15364,13604,6,256,XI70507721,8129,,,Cancelled,,1747465069,1747465069
4513,4187,2025-05-24 10:30:00,2025-05-24 21:19:00,2477,14966,41,371,RB48683120,,,,Scheduled,,1747465069,1747465069
4514,167541,2025-05-15 03:15:00,2025-05-15 19:24:00,16041,2225,180,509,YF21297706,7567,,,OnTime,,1747465069,1747465069
4515,473805,2025-05-17 16:30:00,2025-05-17 18:14:00,16201,12927,89,,GM30486902,7530,,,Cancelled,,1747465069,1747465069
4516,185434,2025-05-17 03:00:00,2025-05-17 11:09:00,16867,13164,35,389,VO38168557,7197,,,OnTime,,1747465069,1747465069
4517,165540,2025-05-30 06:45:00,2025-05-30 16:55:00,15239,1302,191,,XG18980613,,,,Cancelled,,1747465069,1747465069
4518,256960,2025-05-16 13:00:00,2025-05-16 17:47:00,5212,12309,385,618,YA65466146,1868,,,OnTime,,1747465069,1747465069
4519,422058,2025-05-15 06:15:00,2025-05-15 22:44:00,10314,4711,497,127,AS63483706,6574,2025-05-15 06:49:00,2025-05-15 23:18:00,Delayed,25,1747465069,1747465069
4520,256349,2025-05-27 16:30:00,2025-05-27 17:37:00,15536,3206,439,265,OI39452359,4344,,,Delayed,29,1747465069,1747465069
4521,71610,2025-05-19 08:00:00,2025-05-19 11:33:00,8988,6012,69,390,KU54758123XCD,3002,,,Delayed,16,1747465069,1747465069
4522,386838,2025-05-20 14:15:00,2025-05-20 21:18:00,4156,5468,611,240,TP37573420,94,,,Scheduled,,1747465069,1747465069
4523,228866,2025-05-14 08:00:00,2025-05-14 11:25:00,540,10092,153,642,EG73120897XCD,2619,,,OnTime,,1747465069,1747465069
4524,139538,2025-05-17 09:45:00,2025-05-18 01:44:00,2583,2644,621,32,SD73100282,4019,,,OnTime,,1747465069,1747465069
4525,406550,2025-05-20 11:00:00,2025-05-20 20:15:00,5199,12886,308,581,GL78300600,,,,Cancelled,,1747465069,1747465069
4526,386239,2025-05-11 00:45:00,2025-05-11 14:35:00,16119,5732,319,287,AH28601569,2925,2025-05-11 01:37:00,2025-05-11 15:27:00,Delayed,57,1747465069,1747465069
4527,132139,2025-05-08 07:45:00,2025-05-09 00:28:00,6107,13404,564,54,QI20545486,2020,,,OnTime,,1747465069,1747465069
4528,141778,2025-05-17 05:15:00,2025-05-17 15:13:00,5015,2359,73,444,TN43814860,,,,OnTime,,1747465069,1747465069
4529,248656,2025-05-17 05:00:00,2025-05-17 12:27:00,1570,14400,564,,ZG87200935,8453,2025-05-17 05:48:00,2025-05-17 13:15:00,Delayed,71,1747465069,1747465069
