OperationalFlightLegID,CrewMemberID,AssignedRole,CreatedAt
66334,166139,Purser,1747997948
66334,119884,Flight Attendant,1747997948
66335,232735,Captain,1747997948
66335,3184,Purser,1747997948
66335,39148,Flight Attendant,1747997949
66336,287305,Captain,1747997949
66336,244863,Purser,1747997949
66336,337504,Flight Attendant,1747997949
66337,302012,Captain,1747997949
66337,317951,Purser,1747997949
66337,265887,Flight Attendant,1747997949
66338,435784,Captain,1747997949
66338,308040,Purser,1747997949
66338,366217,Flight Attendant,1747997949
66339,82018,Captain,1747997949
66339,462304,Purser,1747997949
66339,357325,Flight Attendant,1747997949
66340,69757,Captain,1747997949
66340,476206,Purser,1747997949
66340,67269,Flight Attendant,1747997949
66341,214993,Captain,1747997949
66341,370999,Purser,1747997949
66341,467058,Flight Attendant,1747997949
66342,392872,Captain,1747997949
66342,1972,Purser,1747997949
66342,488018,Flight Attendant,1747997949
66343,400132,Captain,1747997949
66343,417681,Purser,1747997949
66343,288513,Flight Attendant,1747997949
66344,455405,Captain,1747997949
66344,179715,Purser,1747997949
66344,144251,Flight Attendant,1747997949
66345,422488,Captain,1747997949
66345,66582,Purser,1747997949
66345,13799,Flight Attendant,1747997949
66346,370537,Captain,1747997949
66346,348422,Purser,1747997949
66346,66276,Flight Attendant,1747997949
66347,145884,Captain,1747997949
66347,390053,Purser,1747997949
66347,198049,Flight Attendant,1747997949
66348,318017,Captain,1747997949
66348,123580,Purser,1747997949
66348,219974,Flight Attendant,1747997949
66349,170462,Captain,1747997949
66349,210283,Purser,1747997949
66349,194330,Flight Attendant,1747997949
66350,181519,Captain,1747997949
66350,401416,Purser,1747997949
66350,386914,Flight Attendant,1747997949
66351,62148,Captain,1747997949
66351,36263,Purser,1747997949
66351,139752,Flight Attendant,1747997949
66352,45416,Captain,1747997949
66352,73936,Purser,1747997949
66352,68399,Flight Attendant,1747997949
66353,350380,Captain,1747997949
66353,494742,Purser,1747997949
66353,316358,Flight Attendant,1747997949
66354,361246,Captain,1747997949
66354,478155,Purser,1747997949
66354,11465,Flight Attendant,1747997950
66355,70818,Captain,1747997950
66355,182411,Purser,1747997950
66355,487685,Flight Attendant,1747997950
66356,158707,Captain,1747997950
66356,288287,Purser,1747997950
66356,332447,Flight Attendant,1747997950
66357,69142,Captain,1747997950
66357,218543,Purser,1747997950
66357,2305,Flight Attendant,1747997950
66358,307834,Captain,1747997950
66358,152400,Purser,1747997950
66358,158410,Flight Attendant,1747997950
66359,386915,Captain,1747997950
66359,12050,Purser,1747997950
66359,97278,Flight Attendant,1747997950
66360,444742,Captain,1747997950
66360,140940,Purser,1747997950
66360,281883,Flight Attendant,1747997950
66361,130703,Captain,1747997950
66361,321680,Purser,1747997950
66361,371076,Flight Attendant,1747997950
66362,144535,Captain,1747997950
66362,417545,Purser,1747997950
66362,211611,Flight Attendant,1747997950
66363,206445,Captain,1747997950
66363,294314,Purser,1747997950
66363,181765,Flight Attendant,1747997950
66364,102277,Captain,1747997950
66364,436305,Purser,1747997950
66364,49053,Flight Attendant,1747997950
66365,335293,Captain,1747997950
66365,118408,Purser,1747997950
66365,98205,Flight Attendant,1747997950
66366,444149,Captain,1747997950
66366,465219,Purser,1747997950
66366,329706,Flight Attendant,1747997950
66367,290219,Captain,1747997950
66367,487337,Purser,1747997950
66367,200768,Flight Attendant,1747997950
66368,17928,Captain,1747997950
66368,279738,Purser,1747997950
66368,343924,Flight Attendant,1747997950
66369,468016,Captain,1747997950
66369,374741,Purser,1747997950
66369,249814,Flight Attendant,1747997950
66370,158313,Captain,1747997950
66370,112265,Purser,1747997950
66370,304107,Flight Attendant,1747997950
66371,27438,Captain,1747997950
66371,155628,Purser,1747997950
66371,124615,Flight Attendant,1747997950
66372,147167,Captain,1747997950
66372,348296,Purser,1747997950
66372,448306,Flight Attendant,1747997950
66373,28974,Captain,1747997950
66373,194512,Purser,1747997950
66373,123977,Flight Attendant,1747997951
66374,491945,Captain,1747997951
66374,432391,Purser,1747997951
66374,388031,Flight Attendant,1747997951
66375,364625,Captain,1747997951
66375,190825,Purser,1747997951
66375,495961,Flight Attendant,1747997951
66376,358459,Captain,1747997951
66376,169272,Purser,1747997951
66376,38035,Flight Attendant,1747997951
66377,286615,Captain,1747997951
66377,42073,Purser,1747997951
66377,146323,Flight Attendant,1747997951
66378,32859,Captain,1747997951
66378,331633,Purser,1747997951
66378,256735,Flight Attendant,1747997951
66379,108603,Captain,1747997951
66379,393925,Purser,1747997951
66379,345531,Flight Attendant,1747997951
66380,478566,Captain,1747997951
66380,17683,Purser,1747997951
66380,65515,Flight Attendant,1747997951
66381,154484,Captain,1747997951
66381,71332,Purser,1747997951
66381,35010,Flight Attendant,1747997951
66382,96065,Captain,1747997951
66382,49357,Purser,1747997951
66382,455749,Flight Attendant,1747997951
66383,288701,Captain,1747997951
66383,150093,Purser,1747997951
66383,299931,Flight Attendant,1747997951
66384,452908,Captain,1747997951
66384,186318,Purser,1747997951
66384,110879,Flight Attendant,1747997951
66385,151462,Captain,1747997951
66385,261440,Purser,1747997951
66385,445433,Flight Attendant,1747997951
66386,343224,Captain,1747997951
66386,74300,Purser,1747997951
66386,214705,Flight Attendant,1747997951
66387,94907,Captain,1747997951
66387,345978,Purser,1747997951
66387,108103,Flight Attendant,1747997951
66388,342279,Captain,1747997951
66388,246881,Purser,1747997951
66388,68594,Flight Attendant,1747997951
66389,65032,Captain,1747997951
66389,431002,Purser,1747997951
66389,319120,Flight Attendant,1747997951
66390,491492,Captain,1747997951
66390,380152,Purser,1747997951
66390,8751,Flight Attendant,1747997951
66391,354037,Captain,1747997951
66391,161106,Purser,1747997951
66391,189245,Flight Attendant,1747997951
66392,320074,Captain,1747997951
66392,144708,Purser,1747997951
66392,169343,Flight Attendant,1747997951
66393,480740,Captain,1747997952
66393,223890,Purser,1747997952
66393,40300,Flight Attendant,1747997952
66394,104990,Captain,1747997952
66394,448791,Purser,1747997952
66394,189986,Flight Attendant,1747997952
66395,156755,Captain,1747997952
66395,347374,Purser,1747997952
66395,411426,Flight Attendant,1747997952
66396,534,Captain,1747997952
66396,58992,Purser,1747997952
66396,286999,Flight Attendant,1747997952
66397,228007,Captain,1747997952
66397,241021,Purser,1747997952
66397,181413,Flight Attendant,1747997952
66398,57252,Captain,1747997952
66398,447735,Purser,1747997952
66398,163026,Flight Attendant,1747997952
66399,68117,Captain,1747997952
66399,354365,Purser,1747997952
66399,153852,Flight Attendant,1747997952
66400,301849,Captain,1747997952
66400,190666,Purser,1747997952
66400,15399,Flight Attendant,1747997952
66401,345734,Captain,1747997952
66401,174177,Purser,1747997952
66401,128365,Flight Attendant,1747997952
66402,66523,Captain,1747997952
66402,496041,Purser,1747997952
66402,340759,Flight Attendant,1747997952
66403,150940,Captain,1747997952
66403,110683,Purser,1747997952
66403,86753,Flight Attendant,1747997952
66404,95851,Captain,1747997952
66404,130279,Purser,1747997952
66404,383907,Flight Attendant,1747997952
66405,246418,Captain,1747997952
66405,342962,Purser,1747997952
66405,27675,Flight Attendant,1747997952
66406,187440,Captain,1747997952
66406,300247,Purser,1747997952
66406,373172,Flight Attendant,1747997952
66407,37523,Captain,1747997952
66407,298025,Purser,1747997952
66407,21067,Flight Attendant,1747997952
66408,467191,Captain,1747997952
66408,171020,Purser,1747997952
66408,164852,Flight Attendant,1747997952
66409,207937,Captain,1747997952
66409,13094,Purser,1747997952
66409,194501,Flight Attendant,1747997952
66410,231489,Captain,1747997952
66410,13554,Purser,1747997952
66410,405528,Flight Attendant,1747997952
66411,327993,Captain,1747997952
