OperationalFlightLegID,CrewMemberID,AssignedRole,CreatedAt
133001,129072,Captain,1748001495
133001,210951,Purser,1748001495
133001,38763,Flight Attendant,1748001495
133002,456819,Captain,1748001495
133002,231111,Purser,1748001495
133002,490628,Flight Attendant,1748001495
133003,87005,Captain,1748001495
133003,152360,Purser,1748001495
133003,389225,Flight Attendant,1748001495
133004,191299,Captain,1748001495
133004,352052,Purser,1748001495
133004,297213,Flight Attendant,1748001495
133005,418534,Captain,1748001496
133005,231429,Purser,1748001496
133005,204305,Flight Attendant,1748001496
133006,187007,Captain,1748001496
133006,274725,Purser,1748001496
133006,87882,Flight Attendant,1748001496
133007,255856,Captain,1748001496
133007,360515,Purser,1748001496
133007,449045,Flight Attendant,1748001496
133008,324606,Captain,1748001496
133008,40317,Purser,1748001496
133008,47638,Flight Attendant,1748001496
133009,250595,Captain,1748001496
133009,445797,Purser,1748001496
133009,419212,Flight Attendant,1748001496
133010,175197,Captain,1748001496
133010,69582,Purser,1748001496
133010,485472,Flight Attendant,1748001496
133011,96243,Captain,1748001496
133011,243048,Purser,1748001496
133011,35053,Flight Attendant,1748001496
133012,359736,Captain,1748001496
133012,482017,Purser,1748001496
133012,77630,Flight Attendant,1748001496
133013,351748,Captain,1748001496
133013,342052,Purser,1748001496
133013,385797,Flight Attendant,1748001496
133014,104898,Captain,1748001496
133014,398787,Purser,1748001496
133014,62096,Flight Attendant,1748001496
133015,458333,Captain,1748001496
133015,186379,Purser,1748001496
133015,316276,Flight Attendant,1748001496
133016,26126,Captain,1748001496
133016,119190,Purser,1748001496
133016,235022,Flight Attendant,1748001496
133017,447670,Captain,1748001496
133017,160895,Purser,1748001496
133017,95442,Flight Attendant,1748001496
133018,87798,Captain,1748001496
133018,298313,Purser,1748001496
133018,40098,Flight Attendant,1748001496
133019,305432,Captain,1748001496
133019,308602,Purser,1748001496
133019,471107,Flight Attendant,1748001496
133020,96312,Captain,1748001496
133020,437999,Purser,1748001496
133020,395519,Flight Attendant,1748001496
133021,110615,Captain,1748001496
133021,339705,Purser,1748001496
